destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,coupon_accepted,bar_visit_group,age_num
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,unknown,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1,few,26
Home,Alone,Sunny,55,6PM,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,unknown,1~3,gt8,4~8,1~3,less1,1,0,0,1,0,1,few,26
Work,Alone,Sunny,55,7AM,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,unknown,1~3,gt8,4~8,1~3,less1,1,1,1,0,1,1,few,26
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,unknown,gt8,gt8,gt8,gt8,gt8,1,0,0,0,1,1,more,26
Home,Alone,Sunny,55,6PM,Bar,1d,Male,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,unknown,gt8,gt8,gt8,gt8,gt8,1,0,0,1,0,1,more,26
Work,Alone,Sunny,55,7AM,Bar,1d,Male,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,unknown,gt8,gt8,gt8,gt8,gt8,1,1,1,0,1,1,more,26
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,31,Single,1,High School Graduate,Management,$50000 - $62499,unknown,gt8,gt8,gt8,gt8,gt8,1,0,0,0,1,0,more,31
Home,Alone,Sunny,55,6PM,Bar,1d,Male,31,Single,1,High School Graduate,Management,$50000 - $62499,unknown,gt8,gt8,gt8,gt8,gt8,1,0,0,1,0,1,more,31
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Sales & Related,$100000 or More,unknown,1~3,1~3,4~8,4~8,less1,1,1,0,0,1,1,few,50
Home,Alone,Sunny,55,6PM,Bar,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Sales & Related,$100000 or More,unknown,1~3,1~3,4~8,4~8,less1,1,0,0,1,0,1,few,50
Work,Alone,Sunny,55,7AM,Bar,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Sales & Related,$100000 or More,unknown,1~3,1~3,4~8,4~8,less1,1,1,1,0,1,1,few,50
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,31,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,unknown,4~8,gt8,gt8,1~3,less1,1,0,0,0,1,1,more,31
